word,start,end
back,275.547125,275.897125
though,275.897125,276.207125
<sil>,276.207125,277.007125
winning,277.007125,277.257125
all,277.257125,277.417125
that,277.417125,277.607125
money,277.607125,277.897125
<sil>,277.897125,278.327125
i'd,278.387125,278.547125
be,278.547125,278.687125
<sil>,278.867125,279.787125
well,279.787125,280.067125
i'd,280.067125,280.187125
be,280.187125,280.217125
<sil>,280.217125,280.367125
quite,280.367125,280.707125
content,280.707125,281.187125
with,281.187125,281.317125
one,281.377125,281.657125
million,281.657125,281.947125
dollars,281.947125,282.287125
but,282.287125,282.497125
<sil>,282.497125,282.817125
ten,282.817125,283.097125
million,283.097125,283.397125
dollars,283.397125,283.807125
is,283.807125,284.017125
kind,284.017125,284.307125
of,284.307125,284.387125
like,284.387125,284.617125
over,284.617125,285.007125
kill,285.007125,285.367125
<sil>,285.877125,286.207125
<laugh>,286.207125,286.337125
i,286.657125,286.857125
mean,286.857125,287.117125
do,287.207125,287.307125
you,287.307125,287.377125
think,287.377125,287.507125
anybody,287.507125,287.907125
in,287.907125,287.987125
this,287.987125,288.137125
town,288.137125,288.477125
has,288.477125,288.707125
ten,288.707125,289.007125
million,289.007125,289.377125
dollars,289.377125,289.717125
<vocnoise>,289.717125,289.827125
<sil>,289.827125,290.282125
well,290.282125,290.567125
<sil>,290.677125,290.807125
<sil>,290.807125,290.907125
maybe,290.977125,291.257125
a,291.257125,291.467125
couple,291.677125,292.657125
<sil>,292.827125,292.867125
people,293.587125,293.807125
<laugh-couple_of_people_yes>,293.807125,294.087125
<vocnoise>,294.207125,294.257125
<iver>,294.257125,294.787125
<sil>,294.787125,296.697125
yeah,296.697125,297.067125
<sil>,297.067125,297.267125
probably,297.437125,298.087125
hafta,298.087125,298.377125
go,298.377125,298.457125
to,298.457125,298.537125
dublin,298.537125,298.857125
or,298.857125,298.917125
<sil>,298.917125,299.587125
yknow,299.587125,299.992125
<sil>,299.992125,300.087125
worthington,300.087125,300.737125
somewhere,300.737125,301.127125
around,301.127125,301.387125
there,301.387125,301.567125
to,301.667125,301.787125
find,301.787125,302.047125
<sil>,302.047125,302.357125
couple,302.447125,302.857125
millionaires,302.857125,303.397125
<sil>,303.397125,307.407125
but,307.407125,307.617125
uh,307.617125,307.807125
<sil>,307.807125,308.627125
<iver>,308.627125,308.787125
<sil>,308.787125,308.827125
m-m,308.827125,308.887125
<sil>,309.017125,309.327125
<vocnoise>,309.517125,310.597125
yeah,310.697125,311.267125
<sil>,311.267125,311.447125
give,311.447125,311.867125
some,312.037125,312.327125
charity,312.387125,313.007125
and,313.007125,313.587125
<sil>,313.587125,313.897125
keep,313.897125,314.127125
care,314.127125,314.457125
of,314.457125,314.537125
your,314.537125,314.817125
bills,314.817125,314.957125
and,315.017125,315.167125
<sil>,315.167125,315.727125
probably,315.937125,316.287125
go,316.287125,316.357125
on,316.357125,316.417125
that,316.417125,316.557125
vacation,316.557125,317.097125
you,317.097125,317.187125
been,317.187125,317.347125
dying,317.347125,317.677125
for,317.747125,318.047125
<sil>,318.167125,318.277125
like,318.687125,318.827125
you're,318.827125,319.117125
making,319.117125,319.347125
my,319.347125,319.527125
brain,319.837125,320.187125
water,320.187125,320.527125
here,320.527125,320.877125
over,320.877125,321.187125
<sil>,321.187125,321.257125
australia,321.257125,322.017125
<sil>,322.407125,323.277125
<laugh>,323.897125,324.747125
<iver>,325.047125,325.767125
well,326.497125,326.867125
yeah,326.867125,327.257125
<sil>,327.257125,327.537125
<vocnoise>,327.537125,328.137125
<sil>,328.137125,328.227125
it's,328.227125,328.337125
kind,328.337125,328.457125
of,328.457125,328.517125
like,328.517125,328.747125
making,328.747125,328.937125
your,328.937125,329.267125
mouth,329.267125,329.367125
water,329.417125,329.677125
when,329.677125,329.817125
you,329.817125,329.887125
see,329.887125,330.157125
food,330.247125,330.617125
<sil>,330.777125,332.227125
<sil>,332.567125,332.667125
<laugh>,332.897125,334.427125
<iver>,334.707125,334.937125
<sil>,335.217125,335.437125
and,336.887125,337.017125
this,337.017125,337.167125
is,337.167125,337.327125
my,337.327125,337.457125
consent,337.457125,338.067125
<sil>,338.067125,338.147125
to,338.147125,338.337125
let,338.337125,339.087125
you,339.217125,339.627125
use,339.747125,340.417125
that,340.837125,341.027125
<sil>,341.087125,341.387125
<laugh>,341.567125,341.867125
<sil>,342.107125,342.517125
yeah,343.327125,343.767125
<vocnoise>,343.767125,345.117125
<iver>,345.227125,345.677125
<sil>,345.747125,345.807125
<iver>,345.807125,346.477125
<sil>,346.477125,346.647125
um-hum,346.647125,347.187125
<sil>,347.477125,348.507125
<iver>,348.777125,349.177125
<sil>,349.747125,349.877125
<iver>,350.157125,352.407125
<sil>,352.887125,353.317125
i,354.517125,354.807125
went,356.217125,356.457125
to,358.077125,358.137125
<vocnoise>,358.137125,358.457125
<sil>,358.657125,359.917125
a,360.017125,360.557125
lot,360.657125,360.977125
of,361.277125,361.597125
them,361.597125,361.937125
<sil>,361.937125,362.137125
i,362.247125,362.287125
went,362.787125,362.997125
<sil>,362.997125,363.347125
middle,363.347125,363.587125
school,363.587125,364.157125
i,364.157125,364.197125
went,364.247125,364.487125
to,364.947125,365.007125
<sil>,365.447125,365.877125
clinton,365.957125,366.757125
<sil>,366.757125,366.807125
and,366.807125,367.047125
indianola,367.047125,367.817125
<sil>,367.817125,367.992125
high,367.992125,368.167125
school,368.167125,368.667125
i,368.667125,368.707125
went,368.767125,368.897125
to,368.897125,368.977125
brookhaven,368.977125,369.487125
<sil>,369.487125,369.667125
and,369.757125,369.937125
fort,370.017125,370.237125
hayes,370.237125,370.717125
<sil>,370.717125,370.947125
and,371.927125,372.387125
<sil>,372.887125,372.987125
well,373.917125,373.987125
they're,373.987125,374.547125
<unknown>,374.547125,374.837125
<iver>,374.917125,375.297125
<sil>,375.297125,375.537125
yeah,375.537125,375.877125
one's,375.877125,376.227125
a,376.227125,376.457125
<sil>,376.457125,376.507125
alternative,376.507125,376.877125
school,376.877125,377.387125
and,377.387125,377.467125
the,377.467125,377.607125
other,377.607125,377.707125
one's,377.707125,377.987125
just,377.987125,378.287125
a,378.287125,378.447125
<sil>,378.447125,378.667125
regular,378.667125,379.757125
trashy,379.757125,380.157125
public,380.867125,381.137125
school,381.137125,381.497125
<laugh>,381.927125,383.497125
<iver>,383.667125,384.657125
<sil>,384.797125,386.577125
well,386.577125,387.037125
<sil>,387.037125,387.347125
this,387.347125,387.567125
is,387.567125,387.827125
about,388.017125,388.337125
giving,388.337125,388.507125
opinions,388.507125,389.177125
and,389.177125,389.447125
<sil>,389.447125,389.567125
my,389.567125,389.717125
opinion,389.717125,390.117125
about,390.117125,390.267125
the,390.267125,390.327125
columbus,390.327125,390.677125
public,390.677125,390.987125
school,390.987125,391.337125
system,391.337125,391.827125
really,391.827125,392.327125
<sil>,392.327125,392.707125
isn't,392.707125,393.047125
good,393.047125,393.367125
<sil>,393.597125,393.937125
<iver>,394.167125,395.117125
<sil>,395.117125,395.277125
well,395.277125,395.467125
because,395.467125,395.877125
i've,395.877125,395.977125
been,395.977125,396.117125
in,396.117125,396.227125
public,396.227125,396.597125
schools,396.597125,396.987125
all,396.987125,397.207125
my,397.207125,397.587125
life,397.687125,397.987125
and,397.987125,398.127125
i,398.127125,398.347125
should,398.347125,398.447125
be,398.627125,398.677125
<sil>,398.677125,398.767125
first,398.767125,399.047125
to,399.047125,399.107125
know,399.107125,399.417125
that,399.417125,399.597125
there's,399.597125,400.077125
uh,400.077125,400.177125
<vocnoise>,400.177125,400.267125
<sil>,400.267125,401.587125
lot,401.587125,402.017125
of,402.017125,402.077125
<unknown>,402.077125,402.237125
<sil>,402.377125,402.657125
favoritism,402.707125,403.687125
<sil>,403.687125,404.737125
yknow,404.737125,405.127125
<sil>,405.127125,406.287125
some,406.287125,406.667125
<sil>,406.667125,406.817125
some,406.817125,407.047125
teachers,407.047125,407.517125
will,407.517125,407.717125
<sil>,407.717125,407.817125
teach,407.817125,408.197125
<sil>,408.197125,408.287125
one,408.287125,408.697125
but,408.697125,408.837125
not,408.837125,409.267125
teach,409.267125,409.927125
the,411.137125,411.417125
other,412.257125,412.607125
<sil>,412.607125,412.707125
<iver>,412.707125,412.757125
<sil>,412.757125,412.842125
well,412.842125,412.922125
if,412.922125,412.987125
<iver>,413.197125,413.447125
yeah,413.447125,413.767125
teach,413.857125,414.057125
one,414.057125,414.427125
person,414.427125,415.117125
<sil>,415.117125,415.287125
one,415.287125,415.497125
thing,415.587125,415.897125
<sil>,415.897125,416.027125
and,416.177125,416.607125
<sil>,416.607125,416.747125
not,416.747125,417.117125
teach,417.117125,417.457125
the,417.457125,417.527125
other,417.527125,417.637125
person,417.637125,417.917125
that,417.917125,418.127125
<sil>,418.447125,419.367125
kind,419.457125,419.817125
of,419.817125,419.877125
<vocnoise>,419.977125,420.087125
<sil>,420.087125,421.727125
let,421.727125,421.817125
me,421.817125,421.977125
see,421.977125,422.367125
here,422.367125,422.667125
<sil>,423.247125,423.927125
give,424.137125,424.377125
an,424.377125,424.677125
